도로종류,가해자차종,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,승용차,14388,240,3944,16981,1439
일반국도,승합차,1338,12,459,1581,155
일반국도,화물차,3377,124,1092,3928,310
일반국도,특수차,186,6,52,215,8
일반국도,이륜차,1479,55,491,1207,247
일반국도,사륜오토바이(ATV),32,3,15,17,7
일반국도,원동기장치자전거,148,7,50,99,27
일반국도,자전거,354,6,111,173,90
일반국도,개인형이동장치(PM),199,1,60,117,56
일반국도,건설기계,363,9,128,460,26
일반국도,농기계,32,4,18,20,3
일반국도,기타/불명,189,0,14,161,44
지방도,승용차,7772,123,2482,8797,815
지방도,승합차,549,10,198,619,73
지방도,화물차,1938,75,714,2014,161
지방도,특수차,80,5,20,103,8
지방도,이륜차,810,35,297,582,121
지방도,사륜오토바이(ATV),43,5,23,18,1
지방도,원동기장치자전거,111,4,36,74,21
지방도,자전거,185,3,60,94,41
지방도,개인형이동장치(PM),99,1,26,57,22
지방도,건설기계,154,6,58,186,9
지방도,농기계,48,4,16,30,7
지방도,기타/불명,95,0,12,67,21
특별광역시도,승용차,52458,268,11680,59058,3662
특별광역시도,승합차,4944,40,1374,5038,451
특별광역시도,화물차,7519,99,1991,7593,483
특별광역시도,특수차,345,3,95,387,30
특별광역시도,이륜차,6445,90,2001,5480,964
특별광역시도,사륜오토바이(ATV),24,1,5,21,3
특별광역시도,원동기장치자전거,793,13,239,665,125
특별광역시도,자전거,2381,16,671,1326,593
특별광역시도,개인형이동장치(PM),946,9,246,617,172
특별광역시도,건설기계,634,20,130,670,24
특별광역시도,농기계,12,2,5,5,0
특별광역시도,기타/불명,1168,0,123,791,361
시도,승용차,42723,352,10712,47566,3440
시도,승합차,3807,45,1138,3955,410
시도,화물차,7270,132,2064,7406,547
시도,특수차,318,5,84,358,28
시도,이륜차,4346,108,1359,3544,740
시도,사륜오토바이(ATV),75,13,30,50,2
시도,원동기장치자전거,675,7,225,516,114
시도,자전거,1471,25,463,802,334
시도,개인형이동장치(PM),835,9,231,494,190
시도,건설기계,682,17,179,748,36
시도,농기계,66,11,22,40,5
시도,기타/불명,628,1,66,396,219
군도,승용차,4364,97,1611,4502,308
군도,승합차,280,7,101,304,29
군도,화물차,1593,71,707,1346,73
군도,특수차,18,0,6,16,0
군도,이륜차,505,27,179,339,69
군도,사륜오토바이(ATV),63,4,25,36,6
군도,원동기장치자전거,105,4,42,64,13
군도,자전거,138,9,41,80,19
군도,개인형이동장치(PM),27,1,6,17,7
군도,건설기계,92,5,41,91,3
군도,농기계,80,17,28,42,7
군도,기타/불명,43,0,12,27,6
고속국도,승용차,3252,82,1005,5379,499
고속국도,승합차,270,18,230,940,205
고속국도,화물차,1286,71,512,1815,174
고속국도,특수차,217,12,68,265,12
고속국도,이륜차,3,0,1,2,0
고속국도,자전거,1,1,0,0,0
고속국도,건설기계,63,2,22,90,9
고속국도,기타/불명,128,0,22,127,23
기타,승용차,6964,38,1604,7345,550
기타,승합차,627,4,176,659,67
기타,화물차,1426,23,376,1430,112
기타,특수차,50,0,11,49,6
기타,이륜차,787,12,235,617,139
기타,사륜오토바이(ATV),25,3,12,9,3
기타,원동기장치자전거,98,1,27,70,14
기타,자전거,616,4,223,359,124
기타,개인형이동장치(PM),283,3,68,184,52
기타,건설기계,100,1,29,90,3
기타,농기계,52,10,23,29,3
기타,기타/불명,206,0,37,120,61
